"tcglm","AIC","dAIC","df","weight"
"tcglm3",150.003457795822,0,4,0.177129798103181
"tcglm11",150.645030067964,0.641572272141644,3,0.128521557173502
"tcglm1",151.617992455416,1.6145346595944,5,0.0790132418396298
"tcglm7",151.629401638317,1.62594384249454,3,0.0785637867734134
"tcglm8",151.87187056321,1.86841276738792,3,0.0695938640147974
"tcglm2",151.885684713048,1.88222691722606,4,0.0691148302476633
"tcglm14",152.23023251592,2.22677472009832,2,0.0581773105941986
"tcglm4",152.249761180607,2.24630338478457,4,0.0576120123699851
"tcglm9",152.444585474693,2.44112767887103,3,0.0522645827189947
"tcglm5",152.452441944589,2.44898414876721,4,0.0520596778792777
"tcglm6",152.899387340611,2.89592954478891,3,0.04163403634238
"tcglm10",153.062767247712,3.05930945189021,3,0.0383681642787298
"tcglm13",153.386232795994,3.38277500017188,2,0.0326385885548177
"tcglm12",153.728462589263,3.72500479344109,2,0.0275053461084035
"tcglm15",153.774176733146,3.77071893732415,2,0.0268837850275567
"tcglm16",155.576138029177,5.5726802333551,1,0.0109194179734694
