"","X","collectors","ID_individual","ID_web","ID_aggregate","time","local","experiment","spp","type","sex","age","web_heigth","n_argy","n_males","mass_g","total_length_mm","cephalot_width_mm","food_string","fs_mass","aggregate","n_fem_aggregate","if_feeding","log_mass","CC","pres_argy","males_presence"
"1",1,"Carol Hannah Raul","RHC 01 F1","RHC 01",NA,"10:14","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,4,0,0.0597,13.78,3.46,"present",0.0146,"no",1,"no",-1.22402566887063,-0.251693420860183,"1",0
"2",2,"Carol Hannah Raul","RHC 02 T1 F1","RHC 02 T1","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.087,9.75,2.45,"present",5e-04,"yes",2,"no",-1.06048074738138,0.371271875856017,"0",0
"3",3,"Carol Hannah Raul","RHC 02 T2 F2","RHC 02 T2","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.045,12.53,3.42,"absent",NA,"yes",2,"no",-1.34678748622466,-0.231955121828677,"0",0
"4",4,"Carol Hannah Raul","RHC 03 F1","RHC 03 T1","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.8,1,0,0.161,14.55,2.09,"absent",NA,"yes",2,"no",-0.79317412396815,0.0913780523488135,"1",0
"5",5,"Carol Hannah Raul","RHC 03 F2","RHC 03 T2","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","SA",0.8,1,0,0.0838,10.43,2.1,"present",0.0072,"yes",2,NA,-1.07675598136972,0.277476578553945,"1",0
"6",6,"Carol Hannah Raul","RHC 04 F1","RHC 04",NA,"11:07","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.9,2,0,0.308,17.67,4.17,"present",0.002,"no",1,"no",-0.511449283499556,0.0174226023191267,"1",0
"7",7,"Carol Hannah Raul","RHC 05 F1","RHC 05",NA,"11:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,3,0,0.3302,17.2,3.5,"present",0.0029,"no",1,"no",-0.481222931073225,0.101228998506417,"1",0
"8",8,"Carol Hannah Raul","RHC 06 T1 F","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.4,2,1,0.1075,12.52,3.51,"absent",NA,"yes",NA,"no",-0.968591535748376,0.147380829578688,"1",1
"9",9,"Carol Hannah Raul","RHC 06 T1 M","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.4,2,1,0.0069,4.62,1.29,"absent",NA,NA,NA,"no",-2.16115090926274,-0.144577808379136,"1",1
"10",10,"Carol Hannah Raul","RHC 06 T2 F2","RHC 06 T2","RHC 06 ","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","SA",1.4,2,1,0.1081,12.92,3.18,"absent",NA,"yes",NA,"no",-0.96617430604669,0.104198022037004,"1",1
"11",11,"Carol Hannah Raul","RHC 07 T1 F1","RHC 07 T1","RHC 07","11:10","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.7,0,0,0.1768,13.53,3.14,"absent",NA,"yes",4,"no",-0.752517739322946,0.24831453196461,"0",0
