"","collectors","ID_individual","ID_web","ID_aggregate","time","local","experiment","spp","type","sex","age","web_heigth","n_argy","n_males","mass_g","total_length_mm","cephalot_width_mm","food_string","fs_mass","aggregate","n_fem_aggregate","if_feeding"
"1","Carol Hannah Raul","RHC 01 F1","RHC 01",NA,"10:14","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,4,0,0.0597,13.78,3.46,"present",0.0146,"no",1,"no"
"2","Carol Hannah Raul","RHC 01 A5","RHC 01",NA,"10:14","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1,4,0,0.0013,2.86,NA,"absent",NA,"no",1,"no"
"3","Carol Hannah Raul","RHC 01 A2","RHC 01",NA,"10:14","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,1,4,0,0.0012,3.69,NA,"absent",NA,"no",1,"no"
"4","Carol Hannah Raul","RHC 01 A3","RHC 01",NA,"10:14","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,1,4,0,0.0011,3.05,NA,"absent",NA,"no",1,"yes"
"5","Carol Hannah Raul","RHC 01 A4","RHC 01",NA,"10:14","regiao lagoa","A","Uloboridae","tennant",NA,NA,1,4,0,6e-04,NA,NA,"absent",NA,"no",1,NA
"6","Carol Hannah Raul","RHC 02 T1 F1","RHC 02 T1","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.087,9.75,2.45,"present",5e-04,"yes",2,"no"
"7","Carol Hannah Raul","RHC 02 T2 F2","RHC 02 T2","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.045,12.53,3.42,"absent",NA,"yes",2,"no"
"8","Carol Hannah Raul","RHC 03 F1","RHC 03 T1","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.8,1,0,0.161,14.55,2.09,"absent",NA,"yes",2,"no"
"9","Carol Hannah Raul","RHC 03 F2","RHC 03 T2","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","SA",0.8,1,0,0.0838,10.43,2.1,"present",0.0072,"yes",2,NA
"10","Carol Hannah Raul","RHC 03 A1","RHC 03","RHC 03","10:50","regiao lagoa","A","Faiditus caudatus","female","female","A",0.8,1,0,NA,3.34,NA,"absent",NA,NA,NA,"no"
"11","Carol Hannah Raul","RHC 04 F1","RHC 04",NA,"11:07","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.9,2,0,0.308,17.67,4.17,"present",0.002,"no",1,"no"
"12","Carol Hannah Raul","RHC 04 A1","RHC 04",NA,"11:07","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,0.9,2,0,0.0011,2.95,NA,"absent",NA,NA,NA,"yes"
"13","Carol Hannah Raul","RHC 04 A3","RHC 04",NA,"11:07","regiao lagoa","A","Argyrodes elevatus","tennant","male","MJ",0.9,2,0,0.0014,3.71,NA,"absent",NA,NA,NA,"no"
"14","Carol Hannah Raul","RHC 05 F1","RHC 05",NA,"11:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,3,0,0.3302,17.2,3.5,"present",0.0029,"no",1,"no"
"15","Carol Hannah Raul","RHC 05 A1","RHC 05",NA,"11:37","regiao lagoa","A","Argyrodes elevatus","tennant","female","A",1,3,0,0.0092,4.75,NA,"absent",NA,NA,NA,"no"
"16","Carol Hannah Raul","RHC 05 A2","RHC 05",NA,"11:37","regiao lagoa","A","Faiditus caudatus","tennant","female","A",1,3,0,0.004,4.02,NA,"absent",NA,NA,NA,"no"
"17","Carol Hannah Raul","RHC 05 A3","RHC 05",NA,"11:37","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1,3,0,0.0029,2.99,NA,"absent",NA,NA,NA,"no"
"18","Carol Hannah Raul","RHC 06 T1 F","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.4,2,1,0.1075,12.52,3.51,"absent",NA,"yes",NA,"no"
"19","Carol Hannah Raul","RHC 06 T1 M","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.4,2,1,0.0069,4.62,1.29,"absent",NA,NA,NA,"no"
"20","Carol Hannah Raul","RHC 06 T1 A1","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Metepeira sp.","tennant",NA,NA,1.4,2,1,0.0012,2,NA,"absent",NA,NA,NA,"no"
