Observadores;ID_individuo;ID_da_teia;ID_agregado;Data;Hora;Local;Experimento;spp;tipo;Sexo;Idade;Tamanho_teia;Altura_teia_m;N_Argyrodes;N_machos;massa_g;comprimento_total_mm;largura_cefalot_mm;colar;massa_colar_g;agregado;N_femeas_total_agregado;se_alimentando;se_alimentando;observacoes
Carol, Hannah, Raul;RHC 01 F1;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;4;0;0.0597;13.78;3.46;com;0.0146;nao;1;nao;nao;Perdemos uma aranha na coleta
Carol, Hannah, Raul;RHC 01 A5;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Macho;MA;;1;4;0;0.0013;2.86;;sem;N/A;nao;1;;nao;coletamos apenas uma femea do agregado
Carol, Hannah, Raul;RHC 01 A2;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Faiditus caudatus;inquilino;;;;1;4;0;0.0012;3.69;;sem;N/A;nao;1;;nao;
Carol, Hannah, Raul;RHC 01 A3;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Faiditus caudatus;inquilino;;;;1;4;0;0.0011;3.05;;sem;N/A;nao;1;;sim;coletamos apenas uma femea do agregado
Carol, Hannah, Raul;RHC 01 A4;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Uloboridae;inquilino;;;;1;4;0;0.0006;;;sem;N/A;nao;1;;;
Carol, Hannah, Raul;RHC 02 T1 F1;RHC 02 T1;RHC 02;04/02/2020;10:37;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.087;9.75;2.45;com;0.0005;sim;2;nao;nao;
Carol, Hannah, Raul;RHC 02 T2 F2;RHC 02 T2;RHC 02;04/02/2020;10:37;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.045;12.53;3.42;sem;N/A;sim;2;nao;nao;
Carol, Hannah, Raul;RHC 03 F1;RHC 03 T1;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;0.8;1;0;0.161;14.55;2.09;sem;N/A;sim;2;sim;nao;Perdemos 1 Argyrodes na coleta
Carol, Hannah, Raul;RHC 03 F2;RHC 03 T2;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;SA;;0.8;1;0;0.0838;10.43;2.1;com;0.0072;sim;2;;;
Carol, Hannah, Raul;RHC 03 A1;RHC 03;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Faiditus caudatus;femea;Femea;A;;0.8;1;0;;3.34;;sem;N/A;;;;nao;
